Unnamed: 0,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,Number of Sworn Officers,Number Wearing Body Cameras,Coverage,Fairness,Section of Provision,Policy Language/ Explanation,Transparency,Section of Provision(s),Policy Language/ Explanation.1,Privacy,Section of Provision.1,Policy Language/ Explanation.2,Accountability,Section of Provision.2,Policy Language/ Explanation.3
,shot and Tasered,pick-axe,46.0,M,H,Austin,TX,True,other,Not fleeing,False,2300,20,1%,No,303.4.a.b,"Body camera footage may be reviewed by an officer ""to assist with the writing of a report, supplement, or memorandum.""",No,TX SB 158 Sec. 1701.660 and Sec. 1701.661.e,"Under TX law, police ""may"" (but are not required to) release footage upon public request after any internal or criminal investigations are completed.",Yes,303.2.4,"All footage not depicting a criminal investigation, critical incident, or Level 1 or 2 response to resistance will be deleted after 45 days. ",No,Not specified in policy,No disciplinary guidelines or statement saying that failure to adhere to Body Camera policy is prohibited
,shot,gun,28.0,M,H,Austin,TX,False,attack,Not fleeing,False,2300,20,1%,No,303.4.a.b,"Body camera footage may be reviewed by an officer ""to assist with the writing of a report, supplement, or memorandum.""",No,TX SB 158 Sec. 1701.660 and Sec. 1701.661.e,"Under TX law, police ""may"" (but are not required to) release footage upon public request after any internal or criminal investigations are completed.",Yes,303.2.4,"All footage not depicting a criminal investigation, critical incident, or Level 1 or 2 response to resistance will be deleted after 45 days. ",No,Not specified in policy,No disciplinary guidelines or statement saying that failure to adhere to Body Camera policy is prohibited
,shot,knife,20.0,F,W,Austin,TX,False,other,,True,2300,20,1%,No,303.4.a.b,"Body camera footage may be reviewed by an officer ""to assist with the writing of a report, supplement, or memorandum.""",No,TX SB 158 Sec. 1701.660 and Sec. 1701.661.e,"Under TX law, police ""may"" (but are not required to) release footage upon public request after any internal or criminal investigations are completed.",Yes,303.2.4,"All footage not depicting a criminal investigation, critical incident, or Level 1 or 2 response to resistance will be deleted after 45 days. ",No,Not specified in policy,No disciplinary guidelines or statement saying that failure to adhere to Body Camera policy is prohibited
,shot and Tasered,gun,21.0,M,B,Austin,TX,False,attack,,False,2300,20,1%,No,303.4.a.b,"Body camera footage may be reviewed by an officer ""to assist with the writing of a report, supplement, or memorandum.""",No,TX SB 158 Sec. 1701.660 and Sec. 1701.661.e,"Under TX law, police ""may"" (but are not required to) release footage upon public request after any internal or criminal investigations are completed.",Yes,303.2.4,"All footage not depicting a criminal investigation, critical incident, or Level 1 or 2 response to resistance will be deleted after 45 days. ",No,Not specified in policy,No disciplinary guidelines or statement saying that failure to adhere to Body Camera policy is prohibited
,shot,gun,27.0,M,H,Austin,TX,True,attack,Car,True,2300,20,1%,No,303.4.a.b,"Body camera footage may be reviewed by an officer ""to assist with the writing of a report, supplement, or memorandum.""",No,TX SB 158 Sec. 1701.660 and Sec. 1701.661.e,"Under TX law, police ""may"" (but are not required to) release footage upon public request after any internal or criminal investigations are completed.",Yes,303.2.4,"All footage not depicting a criminal investigation, critical incident, or Level 1 or 2 response to resistance will be deleted after 45 days. ",No,Not specified in policy,No disciplinary guidelines or statement saying that failure to adhere to Body Camera policy is prohibited
,shot,gun,45.0,M,H,Austin,TX,True,other,Not fleeing,True,2300,20,1%,No,303.4.a.b,"Body camera footage may be reviewed by an officer ""to assist with the writing of a report, supplement, or memorandum.""",No,TX SB 158 Sec. 1701.660 and Sec. 1701.661.e,"Under TX law, police ""may"" (but are not required to) release footage upon public request after any internal or criminal investigations are completed.",Yes,303.2.4,"All footage not depicting a criminal investigation, critical incident, or Level 1 or 2 response to resistance will be deleted after 45 days. ",No,Not specified in policy,No disciplinary guidelines or statement saying that failure to adhere to Body Camera policy is prohibited
,shot and Tasered,knife,46.0,M,A,Austin,TX,True,other,Not fleeing,False,2300,20,1%,No,303.4.a.b,"Body camera footage may be reviewed by an officer ""to assist with the writing of a report, supplement, or memorandum.""",No,TX SB 158 Sec. 1701.660 and Sec. 1701.661.e,"Under TX law, police ""may"" (but are not required to) release footage upon public request after any internal or criminal investigations are completed.",Yes,303.2.4,"All footage not depicting a criminal investigation, critical incident, or Level 1 or 2 response to resistance will be deleted after 45 days. ",No,Not specified in policy,No disciplinary guidelines or statement saying that failure to adhere to Body Camera policy is prohibited
,shot,gun,74.0,M,W,Austin,TX,False,attack,Not fleeing,False,2300,20,1%,No,303.4.a.b,"Body camera footage may be reviewed by an officer ""to assist with the writing of a report, supplement, or memorandum.""",No,TX SB 158 Sec. 1701.660 and Sec. 1701.661.e,"Under TX law, police ""may"" (but are not required to) release footage upon public request after any internal or criminal investigations are completed.",Yes,303.2.4,"All footage not depicting a criminal investigation, critical incident, or Level 1 or 2 response to resistance will be deleted after 45 days. ",No,Not specified in policy,No disciplinary guidelines or statement saying that failure to adhere to Body Camera policy is prohibited
,shot,unarmed,42.0,M,H,Austin,TX,False,undetermined,Car,True,2300,20,1%,No,303.4.a.b,"Body camera footage may be reviewed by an officer ""to assist with the writing of a report, supplement, or memorandum.""",No,TX SB 158 Sec. 1701.660 and Sec. 1701.661.e,"Under TX law, police ""may"" (but are not required to) release footage upon public request after any internal or criminal investigations are completed.",Yes,303.2.4,"All footage not depicting a criminal investigation, critical incident, or Level 1 or 2 response to resistance will be deleted after 45 days. ",No,Not specified in policy,No disciplinary guidelines or statement saying that failure to adhere to Body Camera policy is prohibited
,shot,gun,27.0,M,H,Austin,TX,False,attack,Not fleeing,True,2300,20,1%,No,303.4.a.b,"Body camera footage may be reviewed by an officer ""to assist with the writing of a report, supplement, or memorandum.""",No,TX SB 158 Sec. 1701.660 and Sec. 1701.661.e,"Under TX law, police ""may"" (but are not required to) release footage upon public request after any internal or criminal investigations are completed.",Yes,303.2.4,"All footage not depicting a criminal investigation, critical incident, or Level 1 or 2 response to resistance will be deleted after 45 days. ",No,Not specified in policy,No disciplinary guidelines or statement saying that failure to adhere to Body Camera policy is prohibited
,shot,gun,21.0,M,,Austin,TX,False,attack,Not fleeing,False,2300,20,1%,No,303.4.a.b,"Body camera footage may be reviewed by an officer ""to assist with the writing of a report, supplement, or memorandum.""",No,TX SB 158 Sec. 1701.660 and Sec. 1701.661.e,"Under TX law, police ""may"" (but are not required to) release footage upon public request after any internal or criminal investigations are completed.",Yes,303.2.4,"All footage not depicting a criminal investigation, critical incident, or Level 1 or 2 response to resistance will be deleted after 45 days. ",No,Not specified in policy,No disciplinary guidelines or statement saying that failure to adhere to Body Camera policy is prohibited
,shot,gun,24.0,M,W,Austin,AR,False,attack,Not fleeing,False,2300,20,1%,No,303.4.a.b,"Body camera footage may be reviewed by an officer ""to assist with the writing of a report, supplement, or memorandum.""",No,TX SB 158 Sec. 1701.660 and Sec. 1701.661.e,"Under TX law, police ""may"" (but are not required to) release footage upon public request after any internal or criminal investigations are completed.",Yes,303.2.4,"All footage not depicting a criminal investigation, critical incident, or Level 1 or 2 response to resistance will be deleted after 45 days. ",No,Not specified in policy,No disciplinary guidelines or statement saying that failure to adhere to Body Camera policy is prohibited
,shot,knife,26.0,M,B,Baltimore,MD,True,other,Not fleeing,False,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,gun,32.0,M,B,Baltimore,MD,False,attack,Not fleeing,False,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,gun,18.0,M,B,Baltimore,MD,False,attack,Not fleeing,False,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,gun,43.0,M,B,Baltimore,MD,False,attack,Not fleeing,False,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,gun,33.0,M,B,Baltimore,MD,False,attack,Not fleeing,False,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,gun,18.0,M,B,Baltimore,MD,False,attack,Not fleeing,False,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,gun,18.0,M,B,Baltimore,MD,False,other,Other,True,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,knife,39.0,M,B,Baltimore,MD,True,other,Not fleeing,True,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,gun,20.0,M,B,Baltimore,MD,False,other,Foot,True,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,gun,33.0,M,B,Baltimore,MD,False,attack,Foot,True,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,gun,29.0,M,B,Baltimore,MD,False,attack,Not fleeing,True,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,machete,24.0,M,B,Baltimore,MD,False,other,Not fleeing,False,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,unarmed,57.0,M,B,Baltimore,MD,False,other,Not fleeing,True,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,gun,49.0,M,B,Baltimore,MD,False,attack,Not fleeing,True,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,gun and car,30.0,M,B,Baltimore,MD,False,attack,Car,False,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,knife,31.0,M,B,Baltimore,MD,False,attack,Foot,False,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,gun,24.0,M,B,Baltimore,MD,False,attack,Not fleeing,True,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,gun,33.0,M,W,Baltimore,MD,False,attack,Not fleeing,False,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,gun,38.0,M,B,Baltimore,MD,False,attack,Not fleeing,True,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,gun,25.0,M,B,Baltimore,MD,False,attack,Not fleeing,False,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,gun,34.0,M,B,Baltimore,MD,False,attack,Not fleeing,False,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,gun,35.0,M,B,Baltimore,MD,False,attack,Foot,True,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
,shot,vehicle,17.0,F,H,Denver,CO,False,other,Not fleeing,False,1459,200,14%,No,4.e,"""Officers are authorized to review their own BWC recording when preparing official written documentation of a specific event. Officers may only review recordings from their assigned BWC."" In cases of an officer involved shooting or other serious incident, officers must get approval from their supervisors to view the footage prior to making statements.",No,3.a.2.b.2,"""All audio, images and media associated with the BWC are the property of the Denver Police Department and these items are not to be copied, released or disseminated in any form or manner outside the parameters of this policy without the expressed written consent of the Chief of Police."" However, this department policy could be in conflict with Colorado state public records law regarding criminal justice records, which give the public a right to access records involving ""official actions"" such as arrests as per http://dvmen.org/Sealing_records.htm . Denver Police Chief White has stated that he will not release footage to the public under the state's public records laws (http://www.thedenverchannel.com/news/local-news/denver-police-body-camera-experiment-chief-will-report-on-results-wednesday).",Unclear,8,"""The retention of all BWC media will comply with all applicable State of Colorado statutory requirements regarding criminal justice record management and evidence retention and will be based upon the current City and County of Denver Retention Guidelines. All BWC media will be purged from the system in accordance with the current retention schedule."" This schedule regarding body cameras has not been able to be found.",Yes,9,"Clear disciplinary guidelines for first, second, and third violations of department policy are included. However, these guidelines do not include significant disciplinary consequences to the officer and should be strengthened."
,shot,knife,35.0,M,N,Denver,CO,True,other,Foot,False,1459,200,14%,No,4.e,"""Officers are authorized to review their own BWC recording when preparing official written documentation of a specific event. Officers may only review recordings from their assigned BWC."" In cases of an officer involved shooting or other serious incident, officers must get approval from their supervisors to view the footage prior to making statements.",No,3.a.2.b.2,"""All audio, images and media associated with the BWC are the property of the Denver Police Department and these items are not to be copied, released or disseminated in any form or manner outside the parameters of this policy without the expressed written consent of the Chief of Police."" However, this department policy could be in conflict with Colorado state public records law regarding criminal justice records, which give the public a right to access records involving ""official actions"" such as arrests as per http://dvmen.org/Sealing_records.htm . Denver Police Chief White has stated that he will not release footage to the public under the state's public records laws (http://www.thedenverchannel.com/news/local-news/denver-police-body-camera-experiment-chief-will-report-on-results-wednesday).",Unclear,8,"""The retention of all BWC media will comply with all applicable State of Colorado statutory requirements regarding criminal justice record management and evidence retention and will be based upon the current City and County of Denver Retention Guidelines. All BWC media will be purged from the system in accordance with the current retention schedule."" This schedule regarding body cameras has not been able to be found.",Yes,9,"Clear disciplinary guidelines for first, second, and third violations of department policy are included. However, these guidelines do not include significant disciplinary consequences to the officer and should be strengthened."
,shot,gun,28.0,M,H,Denver,CO,False,attack,Not fleeing,False,1459,200,14%,No,4.e,"""Officers are authorized to review their own BWC recording when preparing official written documentation of a specific event. Officers may only review recordings from their assigned BWC."" In cases of an officer involved shooting or other serious incident, officers must get approval from their supervisors to view the footage prior to making statements.",No,3.a.2.b.2,"""All audio, images and media associated with the BWC are the property of the Denver Police Department and these items are not to be copied, released or disseminated in any form or manner outside the parameters of this policy without the expressed written consent of the Chief of Police."" However, this department policy could be in conflict with Colorado state public records law regarding criminal justice records, which give the public a right to access records involving ""official actions"" such as arrests as per http://dvmen.org/Sealing_records.htm . Denver Police Chief White has stated that he will not release footage to the public under the state's public records laws (http://www.thedenverchannel.com/news/local-news/denver-police-body-camera-experiment-chief-will-report-on-results-wednesday).",Unclear,8,"""The retention of all BWC media will comply with all applicable State of Colorado statutory requirements regarding criminal justice record management and evidence retention and will be based upon the current City and County of Denver Retention Guidelines. All BWC media will be purged from the system in accordance with the current retention schedule."" This schedule regarding body cameras has not been able to be found.",Yes,9,"Clear disciplinary guidelines for first, second, and third violations of department policy are included. However, these guidelines do not include significant disciplinary consequences to the officer and should be strengthened."
,shot,gun,35.0,M,H,Denver,CO,False,attack,Car,False,1459,200,14%,No,4.e,"""Officers are authorized to review their own BWC recording when preparing official written documentation of a specific event. Officers may only review recordings from their assigned BWC."" In cases of an officer involved shooting or other serious incident, officers must get approval from their supervisors to view the footage prior to making statements.",No,3.a.2.b.2,"""All audio, images and media associated with the BWC are the property of the Denver Police Department and these items are not to be copied, released or disseminated in any form or manner outside the parameters of this policy without the expressed written consent of the Chief of Police."" However, this department policy could be in conflict with Colorado state public records law regarding criminal justice records, which give the public a right to access records involving ""official actions"" such as arrests as per http://dvmen.org/Sealing_records.htm . Denver Police Chief White has stated that he will not release footage to the public under the state's public records laws (http://www.thedenverchannel.com/news/local-news/denver-police-body-camera-experiment-chief-will-report-on-results-wednesday).",Unclear,8,"""The retention of all BWC media will comply with all applicable State of Colorado statutory requirements regarding criminal justice record management and evidence retention and will be based upon the current City and County of Denver Retention Guidelines. All BWC media will be purged from the system in accordance with the current retention schedule."" This schedule regarding body cameras has not been able to be found.",Yes,9,"Clear disciplinary guidelines for first, second, and third violations of department policy are included. However, these guidelines do not include significant disciplinary consequences to the officer and should be strengthened."
